id,platform,coords,meta,created_at,updated_at,lat_long,centroid_coords,address,locality,city,centroid
138,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""18.4665083,73.9168397""","{""full"":""Ground Floor ,Survey No.60/2/2, situated at Village Undri, Taluka Haveli, District Pune- 411060""}",Village Undri,Pune,"18.4665083,73.9168397"
139,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""22.3038945,70.80215989999999""","{""full"":""Ground Floor ,Shop no G1, SS Anex, Plot No B/1 and part B/2, Srvy No 2502, Ward No 16, Rajkot, Gujarat 360001""}",Ward No 16,Rajkot,"22.3038945,70.80215989999999"
14,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""9.943448199999999,76.3737439""","{""full"":""Ground Floor, Survey No. 247/3, Resurvey No. 313/10, Kanayannur Taluk, Thiruvankulam Village, Near Hill Palace, Thripunithura, Ernakulam District,Kochi, Kerala- 682301""}",Thripunithura,Kochi,"9.943448199999999,76.3737439"
140,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""11.6771023,78.1373836""","{""full"":""Ground Floor ,1329,1/2, 3, 4, 5, Sriram NagarSurvey no. 103/1D5,Reddiyur Village, Salem Taluk, Sriram Nagar, Salem- 636016""}",Sriram Nagar,Salem,"11.6771023,78.1373836"
141,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""21.1959098,72.79330209999999""","{""full"":""Ground Floor ,Shop no.3,4,5,6,7,8,9 Ground Floor, Vijyalaxmi Hills, Adajan Surat Gujarat 396009""}",Vijyalaxmi Hills,Surat,"21.1959098,72.79330209999999"
142,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""10.5038289,76.2366502""","{""full"":""Ground Floor, Kollannur,Door no.296/5&amp;296/5/A,Ward no.24-Valarkkavu,Thrissur-680006""}",Kollannur,Thrissur,"10.5038289,76.2366502"
143,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""10.534815,76.183695""","{""full"":""Ground Floor ,Jyothi Complex- Door No.52/654 Ayyanthole Village, Thrissur Taluk, Thrissur District, Kerala- 680004,""}",Ayyanthole Village,Thrissur,"10.534815,76.183695"
144,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""17.5186369,78.3962529""","{""full"":""GF, Shop Nos. 1 to 3, Sri Krishna Lake View, House No. 1-189/D Bachupally Village and Mandal, Pragathi Nagar , Medchal-Malkajgiri Telangana - 500090""}",Pragathi Nagar,Hyderabad,"17.5186369,78.3962529"
145,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""18.9701173,72.8144451""","{""full"":""INQUILAB offset Printers Ltd,  156 D J Dadajee Road, Tardeo, Opp Tardeo Best Bus Depot, Mumbai, Maharashtra 400034""}",Tardeo,Mumbai,"18.9701173,72.8144451"
146,blinkit,[],{},2025-03-18 21:55:17.442225+00,2025-03-18 21:55:17.442225+00,,"""18.9762246,72.8411355""","{""full"":""Mustafa Bazaar Ground Floor  Plot No. 49, 49A and 50, situated at , Sant Savta Marg, Mazgaon, Mumbai- 400010""}",Mazgaon,Mumbai,"18.9762246,72.8411355"
